Method,CSA,Control Entropy (H_C),Weighted Control Potential (WCP),Robustness (R - degree)
Baseline,0.8647,2.3026,4.3115,0.3393
RCP,0.8647,2.3026,5.1213,0.4742
Bi-level,0.8647,2.3026,5.6056,0.5000
Bimodal+Random,0.8647,2.3026,4.3076,0.3383
Random+RL,0.8647,2.3026,4.4477,0.4370
GA+RL,0.8647,2.3026,4.2594,0.4387
Onion+Ra,0.8647,2.3026,3.9009,0.4543
Onion+RL,0.8647,2.3026,4.3399,0.4592
SOLO+Ra,0.8647,2.3026,3.8865,0.4130
SOLO+RL,0.8647,2.3026,4.1718,0.4378
ROMEN+Ra,0.8647,2.3026,4.3678,0.2867
ROMEN+RL,0.8647,2.3026,5.1213,0.4742
