Stage,Mean Time (s),Total Time (s),Min Time (s),Max Time (s),Iterations
Construct_Random,0.0010,0.0010,0.0010,0.0010,1
Construct_BA,0.0010,0.0010,0.0010,0.0010,1
Construct_Two,0.0010,0.0010,0.0010,0.0010,1
Construct_Three,3.9804,3.9804,3.9804,3.9804,1
Construct_Onion,1.1476,1.1476,1.1476,1.1476,1
Construct_SOLO,0.0091,0.0091,0.0091,0.0091,1
Construct_ROMEN,6.4379,6.4379,6.4379,6.4379,1
Construct_BimodalRL,60.5741,60.5741,60.5741,60.5741,1
Construct_UNITY,0.0098,0.0098,0.0098,0.0098,1
Simulation_Run,1.1634,1.1634,1.1634,1.1634,1
Total_Iteration,73.3285,73.3285,73.3285,73.3285,1
