Baseline,RCP,Random,Hybrid,Bi-level,Bimodal+Random,Random+RL,GA+RL,Onion+Ra,Onion+RL
0.19272041799918924,0.2871564569163551,0.35264900229719376,0.3736840908067204,0.4152961578307284,0.29381753074185846,0.3531669969821179,0.39554911940903564,0.3598908607720373,0.2796117517228953
0.23686734831764336,0.35302180081978285,0.3639384712400342,0.3482122652132787,0.4110247511373361,0.37389588306833027,0.3672194495743435,0.4011277419936039,0.31704249808567175,0.2931696995630828
0.3313402999864871,0.24832602135038964,0.37339131120219804,0.3958342191793163,0.4006840232421963,0.4214119409035629,0.4042424215125445,0.2776097247871718,0.3684140579253186,0.3612747398765821
0.1906383721453989,0.34086257375793877,0.34962724652042704,0.3473339263997117,0.3960359443268322,0.42271341381018873,0.37680018918066754,0.4433848024863745,0.3595597495608307,0.32760747263636775
0.2181505562812486,0.22990007206882573,0.3475236475834422,0.3704050493221026,0.4478699382910679,0.3918872122877348,0.4029170082428719,0.39498608170803123,0.3171551056258727,0.3355451105806044
0.29931807125805143,0.30313569208594204,0.42532539074816444,0.36820032881401743,0.4248553443538579,0.41154274582226025,0.338323386333949,0.38984014233593084,0.3473339263997117,0.32982800324309725
0.2004419395522724,0.2625687131210306,0.3971289806765461,0.37619307688842846,0.40050720688257285,0.4025815729021215,0.35732340885545694,0.3326431917481195,0.3453937210035584,0.23067251475158776
0.28699209495067785,0.28273552993108414,0.42707871267060044,0.4223521012567002,0.4074078870321158,0.3860766632133688,0.4316280572947165,0.3436720192784109,0.27650042790865276,0.2903252781406243
0.19272041799918924,0.2871564569163551,0.4078970992297644,0.4270514166028557,0.4152961578307284,0.29381753074185846,0.3784327732985001,0.39503925498851394,0.37107159587405975,0.31701326516823564
0.30861945407864516,0.29193004819602725,0.3723907481644971,0.33192824647538405,0.43664751587766315,0.4368209765325886,0.38130210350885096,0.3838187694248007,0.30110972478717185,0.31265080401783707
