Method,CSA,Control Entropy (H_C),Weighted Control Potential (WCP),Robustness (R - random)
Baseline,0.9592,2.7726,2.1095,0.2161
RCP,0.9592,2.7726,2.2235,0.2208
Bi-level,0.8785,2.5049,3.0891,0.3672
Bimodal+Random,0.8785,2.5049,2.7546,0.2994
Random+RL,0.6289,1.6179,1.3136,0.3599
GA+RL,0.9339,2.6421,2.9076,0.3834
Onion+Ra,0.9592,2.7726,2.2588,0.2727
Onion+RL,0.9592,2.7726,2.0258,0.2789
SOLO+Ra,0.9592,2.7726,2.6855,0.3449
SOLO+RL,0.9592,2.7726,2.8879,0.3807
ROMEN+Ra,0.9592,2.7726,1.9565,0.1347
ROMEN+RL,0.9592,2.7726,2.2252,0.3110
